id,headline,date,snippet,url,word_count,,,,,
5ab8f3a847de81a901217461,b'California Today: They Marched for Gun Control. Will Anything Change?',3/26/18,"b'Monday: Gun control proponents march throughout the state, fresh uproar over a fatal shooting by the Sacramento police, and concern over a new housing bill.'",https://www.nytimes.com/2018/03/26/us/california-today-gun-marches.html,1081,,,,,
5ab7f0c347de81a901216f3c,"b'John Bolton, Gun Control, China: Your Monday Briefing'",3/25/18,b'Here\xe2\x80\x99s what you need to know to start your day.',https://www.nytimes.com/2018/03/25/briefing/john-bolton-gun-control-china.html,1331,,,,,
5ab5dcba47de81a9012167e6,"b""'Vote Them Out!': Hundreds of Thousands Demand Gun Control""",3/24/18,"b'In a historic groundswell of youth activism, hundreds of thousands of teenagers and their supporters rallied across the U.S. against gun violence Saturday, vowing to transform fear and grief into a ""vote-them-out"" movement and tougher laws against...'",https://www.nytimes.com/aponline/2018/03/24/us/politics/ap-us-student-gun-protests.html,936,,,,,
5ab26f4247de81a901214548,b'The Latest: Constitution Panel Rejects Gun Control Proposals',3/21/18,b'The Latest on the deadly shooting at a Florida high school (all times local):',https://www.nytimes.com/aponline/2018/03/21/us/ap-us-school-shooting-florida-the-latest.html,808,,,,,
5ab12e2247de81a9012134ea,b'Crime Spike Prompts Canada to Unveil Tougher Gun Control Steps',3/20/18,"b""Canada's Liberal government unveiled proposals on Tuesday to tighten already tough gun control laws to address a spike in crimes involving firearms, including a deadly attack on a  mosque last year.""",https://www.nytimes.com/reuters/2018/03/20/us/20reuters-canada-politics-guncontrol.html,434,,,,,
5aa113f447de81a90120b852,"b'Tariffs, Gun Control, International Women\xe2\x80\x99s Day: Your Thursday Briefing'",3/8/18,b'Here\xe2\x80\x99s what you need to know to start your day.',https://www.nytimes.com/2018/03/08/briefing/tariffs-gun-control-international-womens-day.html,1184,,,,,
5a97d6eb410cf7000162e9cf,"b'Hope Hicks, Gun Control, Spotify: Your Thursday Briefing'",3/1/18,b'Here\xe2\x80\x99s what you need to know to start your day.',https://www.nytimes.com/2018/03/01/briefing/hope-hicks-gun-control-spotify.html,1194,,,,,
5ab8a88447de81a90121725f,b'Teaching Activities for: \xe2\x80\x98Students Lead Huge Rallies for Gun Control Across the U.S.\xe2\x80\x99',3/26/18,b'What do you think will be the short- and long-term outcome of the rallies to end gun violence?',https://www.nytimes.com/2018/03/26/learning/teaching-activities-for-students-lead-huge-rallies-for-gun-control-across-the-us.html,316,,,,,
5ab3de8a47de81a901215629,b'Congress Poised to Pass Modest Gun Control Measures in Spending Bill',3/22/18,"b'With large protests for stricter gun laws planned nationwide on Saturday, the U.S. Congress is expected to approve a massive spending bill this week with grants to help schools prevent gun violence, improvements to background checks and an assuran...'",https://www.nytimes.com/reuters/2018/03/22/us/22reuters-usa-guns.html,449,,,,,
5a8d4145410cf7000162d141,b'Stephen Colbert Stands With Florida Students Fighting for Gun Control',2/21/18,"b'\xe2\x80\x9cI hope these kids don\xe2\x80\x99t give up,\xe2\x80\x9d Colbert said on Tuesday. \xe2\x80\x9cSomeone else may be in power, but this country belongs to them.\xe2\x80\x9d'",https://www.nytimes.com/2018/02/21/arts/television/stephen-colbert-florida-shooting-students.html,729,,,,,
5a90173c410cf7000162d923,b'DealBook Briefing: Dropbox Files to Go Public',2/23/18,b'The cloud storage company filed with the Securities and Exchange Commission for an initial public offering.',https://www.nytimes.com/2018/02/23/business/dealbook/business-gun-control.html,3266,,,,,
5a862f33410cf7000162c3d7,b'A Mother Weeps for Her Angel: \xe2\x80\x98I Hope She Didn\xe2\x80\x99t Die for Nothing\xe2\x80\x99',2/16/18,"b'As students who survived the Florida school massacre struggled to make sense of the horror and loss, an entire community turns out at a vigil.'",https://www.nytimes.com/2018/02/15/us/a-mother-weeps-for-her-angel-i-hope-she-didnt-die-for-nothing.html,840,,,,,
5a97e5cf410cf7000162e9fe,b'Listen to \xe2\x80\x98The Daily\xe2\x80\x99: Trump vs. the N.R.A.',3/1/18,"b'The president stunned lawmakers with calls for gun control. Also, Hope Hicks, the White House communications director, is to step down.'",https://www.nytimes.com/2018/03/01/podcasts/the-daily/trump-nra-hope-hicks.html,386,,,,,
5a8fe666410cf7000162d87e,"b'Major Shootings Led to Tougher Gun Laws, but to What End?'",2/23/18,b'Major legislation is often spurred by tragedy. Experts are uncertain about the extent that gun control laws have improved safety and curbed violence.',https://www.nytimes.com/2018/02/23/us/politics/fact-check-mass-shootings-gun-laws.html,1162,,,,,
5a86327a410cf7000162c3e2,b'Limiting Access to Guns for Mentally Ill Is Complicated',2/16/18,"b'After the shooting, Florida officials and President Trump stepped into the balancing act between public safety and the right to bear arms.'",https://www.nytimes.com/2018/02/15/us/gun-access-mentally-ill.html,1349,,,,,
