id,headline,date,snippet,url,word_count
5ac0ea16068401528a2a0667,"b'After Gun Control Marches, \xe2\x80\x98It\xe2\x80\x99ll Go Away\xe2\x80\x99 vs. \xe2\x80\x98We Are Not Cynical Yet\xe2\x80\x99'",2018-04-01,"b'Advocates as well as opponents of gun control, both plotting next steps after the March for Our Lives rally, think their adversaries will eventually tire.'",https://www.nytimes.com/2018/04/01/us/politics/gun-control-marches-protests.html,1492
5ac0e5e6068401528a2a065c,b'Remington\xe2\x80\x99s Bankruptcy Stalls Ruling in Sandy Hook Families\xe2\x80\x99 Suit',2018-04-01,"b'The case, amid a reinvigorated debate over guns, has been closely watched as it tries to pierce the legal shield protecting gun companies from lawsuits.'",https://www.nytimes.com/2018/04/01/nyregion/remington-sandy-hook-shooting.html,930
5ac160c2068401528a2a0829,"b'They Tried to Boycott Facebook, Apple and Google. They Failed.'",2018-04-01,"b'People are increasingly calling for boycotts of the big tech companies amid a backlash. The problem is that Facebook, Apple, Amazon and Google are nearly inescapable.'",https://www.nytimes.com/2018/04/01/business/boycott-facebook-apple-google-failed.html,1045
